whole.body	background	ASE	Serotonergic	Dopaminergic	Glutamatergic	Ciliated.sensory	GABAergic	mechanosensory	unc.86.expressing	pharyngeal	cholinergic	ceh.14.expressing	unc.42.expressing	unc.3.expressing	Pan
mir-248	3053.14373917768	1.40979283757102	1.27357318768352	0.428980723009998	2.87480608808826	22.6794546768221	2.71504235549677	5.98661004377377	1.7229465844273	1.36364220097083	0.841590654230983	26.6097530531317	1.28292134250165	0.691045455681531	1.61284970694441	159.290164266938
mir-249	714.634877193883	3.1353126809257	10.9855432756229	2.31988702675836	4.35503578531529	117.472395919436	72.2761987248158	2.38573796992727	1.25950593385482	1.99191997046796	2.30640363937118	4.91296792487152	29.6680879204814	1.78909784873443	1.7103616925856	160.520655886002
mir-250	23473.0398382176	24.7045930653351	17.7424176445251	16.919344651898	31.4037204461167	98.0912306522318	36.2754439109777	55.2398553823014	33.9844133741718	28.9965846562634	17.3620337440996	485.589879973518	117.244837656873	21.8042494656934	51.1079122816683	917.618424794031
mir-251	10968.0106521967	68.4911589805905	78.7528645509604	79.6772883661017	145.355592822438	118.419480713811	58.3221564340911	82.968270847429	67.0876275794374	61.623151015438	58.2408592527877	429.730700134667	78.7829617647616	61.4647544616504	21.579430400845	185.386177736687
mir-252	25717.0042747205	18.5291658730548	10.4741117830249	5.9882116842012	15.4952484996385	83.3295301052893	18.2506584684525	23.4465334662664	15.6163162489041	16.9714772205468	7.56333188643608	231.185430592744	11.9147882622042	6.62927012388713	11.3921503499355	980.33074275513
mir-253	811.721310003029	2.21282959686925	1.12403815855696	0.566920504514633	0.804717942698544	11.4894559682795	3.54132508761014	1.61596422821764	1.17739611077721	1.27365088848338	2.16581460504971	19.9867626852942	0.937497444508195	0.570502264722503	1.45879689184552	17.7522255749979
mir-254	2488.28478699886	2.01808475544175	31.2303749290337	1.19774487038553	1.80714456323962	253.396215543325	320.129707745714	2.89897002427367	2.19392822604389	8.40664805544092	1.80757178034544	62.0320210373377	1.69319803185115	0.827261682017884	1.64454490898528	486.519219998396
mir-255	20086.4273331151	15.6641858935371	10.538995088194	4.78234479085907	11.5290394992195	7.05270089895187	18.6950717502322	17.9819199502316	14.9729753350767	11.7837793811869	7.12691743226992	11.5450759730414	7.35617605110806	5.80708790020785	6.1879403243777	9.78944551433541
mir-259	23012.0642601353	19.4065898466029	9.40413215905326	6.69313959824815	63.6738153197477	189.057809049675	22.2740905878144	77.9567786200263	17.9686372311332	11.9536111651564	20.907307217193	431.580993873582	33.1066100728032	7.35066384228633	35.1080246428701	797.629191721931
mir-34	31680.3909470392	44.8758604102372	85.0301649706056	22.3218656217815	64.7281227973783	826.967792252037	378.061115713562	90.8735874744756	58.7538805301485	101.108728134456	35.8726062790167	748.774301043018	98.7760178438564	43.0578896125973	30.1612784332891	2199.63137254023
mir-35	107605.575180874	571.293820438186	179.49555647651	206.987795318467	367.344539082517	259.125514268422	243.038593247013	292.94050750701	241.160307975696	228.112273552142	242.582994136468	582.401239815204	200.459728068852	154.466393010636	148.593206474037	622.324948567289
mir-355	9457.86587880115	8.57440821752532	3.34337702358303	2.37644820415677	34.4115701691025	398.726997616373	10.9193711311496	77.771542771852	15.3786902837435	6.37966558507233	12.908571869881	451.351305188259	20.3722664846056	2.63144483526313	11.3592543582248	826.997091117886
mir-356b	1327.5436588676	0.750009774590082	0.523851271694362	0.0643514042233069	0.516433061348333	20.8505340288826	63.1790761452273	1.36157453875756	0.87529734669007	0.814009928870198	0.640281832860594	2.64840351365759	0.437158561393031	0.362555671619057	0.633050827756287	66.7521485922259
mir-36	99346.3307864028	105.32493747263	49.7575173620105	36.9855986907987	80.1076226835199	51.9450951380202	100.76053572238	86.0840035328223	89.262844984842	70.6087722604443	53.262754336873	80.8678588868501	54.3468279543121	42.2726179377209	56.6360644551392	96.7306514652385
mir-360	6519.40980340111	11.3861341782857	17.8298168817463	5.33131884778409	14.9609394700732	23.4139661447698	6.77419761292701	11.0406792716264	10.5576965652762	4.81821218776917	4.869677011394	117.522812528378	6.355627549801	6.31317351033262	3.6255300265191	31.6239376234627
mir-37	53405.6561515175	49.7922968670003	23.3629964852836	21.7983202866427	56.5400872696832	68.7874808898911	65.214461808402	59.9497565620808	53.4200214573251	43.9506945556665	23.7750281730088	263.333620438258	45.6003514669551	28.0704908806724	62.4245768064673	271.371197388213
mir-38	92758.4665701881	744.6781450672	236.504798880266	334.774066371578	488.129335150534	355.572710444062	300.572055102465	371.38630180324	443.113743566129	372.256749361231	308.417778359655	995.947890288554	307.688226998344	195.559353365406	223.578417730778	901.960787660431
mir-39	87972.4219171553	125.277066510301	77.4366167409261	77.7269852400588	109.22493957511	82.4200168312143	128.438763569157	113.077662662362	140.552595687078	116.447210602989	73.7371532323083	124.422375610283	69.0496584320441	53.0510627102451	83.3719632312829	158.01936095123
mir-392	1196.92495495102	1.41702576468814	1.39041278762597	0.442990220111932	5.17764902969807	93.205317888536	7.60100697950944	10.1377877999918	2.0181089888052	18.8548176902651	2.87832391468229	62.4386087754381	28.3423698186494	0.523653792361186	2.0216650788821	237.885198635424
mir-40	65204.1343374536	49.7463771602667	28.6954743924148	19.450359248793	41.2857586408521	40.7877773443935	75.5755347017423	63.8996901727141	43.2374724460928	53.237054272434	22.2666229006008	185.243477814247	33.0959301996687	25.3060892588362	39.9950512786531	166.135113040848
mir-41	50697.5649222309	62.0455895262052	33.2301153150993	46.9149150260815	115.042384859508	94.1590454283201	111.421296621631	102.251264894799	78.9913742878876	87.5120013251376	47.8879162162966	419.126773084008	54.2740574593293	43.5351915790331	35.2972477671222	202.112510398679
